month,month_end_date,month_end_value,monthly_mean,n_obs
2023-09,2023-09-29,7.296,7.2998,18
2023-10,2023-10-31,7.3166,7.30711,21
2023-11,2023-11-30,7.136,7.22259,20
2023-12,2023-12-29,7.0999,7.14021,20
2024-01,2024-01-31,7.1673,7.170705,21
2024-02,2024-02-29,7.1977,7.19349,20
2024-03,2024-03-29,7.2203,7.201486,21
2024-04,2024-04-30,7.2401,7.237432,22
2024-05,2024-05-31,7.241,7.232714,22
2024-06,2024-06-28,7.2672,7.254747,19
2024-07,2024-07-31,7.2193,7.260936,22
2024-08,2024-08-30,7.09,7.147486,22
2024-09,2024-09-30,7.0176,7.076,20
2024-10,2024-10-31,7.1178,7.088118,22
2024-11,2024-11-29,7.2423,7.206284,19
2024-12,2024-12-31,7.2993,7.280695,21
2025-01,2025-01-31,7.2422,7.2957,21
2025-02,2025-02-28,7.2828,7.273432,19
2025-03,2025-03-31,7.2567,7.249252,21
2025-04,2025-04-30,7.2706,7.296782,22
2025-05,2025-05-30,7.1991,7.216557,21
2025-06,2025-06-30,7.1636,7.18035,20
2025-07,2025-07-31,7.2002,7.174086,22
2025-08,2025-08-29,7.1304,7.172695,21
2025-09,2025-09-30,7.119,7.123457,21
2025-10,2025-10-31,7.1169,7.119968,22
2025-11,2025-11-28,7.0751,7.106883,18
2025-12,2025-12-31,6.9931,7.0432,22
2026-01,2026-01-30,6.951,6.96923,20
2026-02,2026-02-27,6.8579,6.906353,19
2026-03,2026-03-31,6.898,6.892077,22
2026-04,2026-04-30,6.8273,6.837118,22
2026-05,2026-05-29,6.7662,6.79963,20
2026-06,2026-06-30,6.7851,6.775829,21
2026-07,2026-07-31,6.7509,6.775686,22
2026-08,2026-08-31,6.7197,6.736076,21
2026-09,2026-09-04,6.7108,6.717025,4
