bloc,provider,key,day,commit,old_input,old_output,new_input,new_output,direction
US,anthropic,claude-2,2023-11-22,3e76d4b422cabf504a9de113eeb6c1b20ba1c9c6,11.02,32.68,8.0,24.0,cut
US,anthropic,claude-2.1,2023-11-22,3e76d4b422cabf504a9de113eeb6c1b20ba1c9c6,11.02,32.68,8.0,24.0,cut
US,anthropic,claude-instant-1.2,2023-11-22,3e76d4b422cabf504a9de113eeb6c1b20ba1c9c6,1.6300000000000001,5.51,0.163,0.551,cut
US,perplexity,perplexity/pplx-70b-chat,2024-01-31,855d27d2e9b19a9debdd42bc68d547c318c9c6d9,0.0,0.0,0.7,2.8,increase_or_mixed
US,perplexity,perplexity/pplx-70b-online,2024-01-31,855d27d2e9b19a9debdd42bc68d547c318c9c6d9,0.0,500.0,0.0,2.8,cut
US,perplexity,perplexity/pplx-7b-chat,2024-01-31,855d27d2e9b19a9debdd42bc68d547c318c9c6d9,0.0,0.0,0.07,0.28,increase_or_mixed
US,perplexity,perplexity/pplx-7b-online,2024-01-31,855d27d2e9b19a9debdd42bc68d547c318c9c6d9,0.0,500.0,0.0,0.28,cut
US,perplexity,perplexity/llama-2-70b-chat,2024-02-05,e832492423beae14755fc932b0e08f50cb6f82b4,0.0,0.0,0.7,2.8,increase_or_mixed
US,perplexity,perplexity/mistral-7b-instruct,2024-02-05,e832492423beae14755fc932b0e08f50cb6f82b4,0.0,0.0,0.07,0.28,increase_or_mixed
US,openai,ft:gpt-3.5-turbo,2024-02-06,b9e6f760ebd00175e90ec3087444e16f491ac27e,12.0,16.0,3.0,6.0,cut
US,gemini,gemini/gemini-1.5-flash-latest,2024-06-17,61d004018591139cb221d82f86cd2218b9e2b1fb,0.0,0.0,0.35,1.05,increase_or_mixed
US,gemini,gemini/gemini-1.5-pro,2024-06-17,61d004018591139cb221d82f86cd2218b9e2b1fb,0.0,0.0,0.35,1.05,increase_or_mixed
US,gemini,gemini/gemini-1.5-pro-latest,2024-06-17,61d004018591139cb221d82f86cd2218b9e2b1fb,0.0,0.0,0.35,1.05,increase_or_mixed
US,gemini,gemini/gemini-pro,2024-06-17,61d004018591139cb221d82f86cd2218b9e2b1fb,0.0,0.0,0.35,1.05,increase_or_mixed
US,gemini,gemini/gemini-pro-vision,2024-06-17,61d004018591139cb221d82f86cd2218b9e2b1fb,0.0,0.0,0.35,1.05,increase_or_mixed
US,gemini,gemini/gemini-1.5-pro,2024-07-06,2452753e084e8134c0c484b32c63fb5f2950c5ba,0.35,1.0499999999999998,3.5,10.5,increase_or_mixed
US,gemini,gemini/gemini-1.5-pro-latest,2024-07-06,2452753e084e8134c0c484b32c63fb5f2950c5ba,0.35,1.0499999999999998,3.5,1.05,increase_or_mixed
US,gemini,gemini/gemini-1.5-pro,2024-08-15,e3cd8e169b4b996b3633b048064ea135a07ca024,3.5,10.5,0.35,1.05,cut
US,gemini,gemini/gemini-1.5-pro-latest,2024-08-15,e3cd8e169b4b996b3633b048064ea135a07ca024,3.5,1.0499999999999998,0.35,1.05,cut
