bloc,provider,key,base_name,first_day,last_day,removed,span_days,first_input,first_output,last_input,last_output,n_price_changes,change_days,aa_intelligence_index,aa_index_version,aa_page_url,lookup_date
CN,dashscope,dashscope/qwen-max,qwen-max,2025-07-11,2026-09-13,0,429,,,1.6,6.4,1,2025-09-12,,,,
CN,dashscope,dashscope/qwen-plus,qwen-plus,2025-09-12,2026-09-13,0,366,0.4,1.2,0.4,1.2,0,,,,,
CN,dashscope,dashscope/qwen-turbo,qwen-turbo,2025-09-12,2026-09-13,0,366,0.05,0.2,0.05,0.2,0,,,,,
CN,dashscope,dashscope/qwq-plus,qwq-plus,2025-09-12,2026-09-13,0,366,0.8,2.4,0.8,2.4,0,,,,,
CN,deepseek,deepseek-chat,deepseek-chat,2024-05-07,2026-09-13,0,859,0.14,0.28,0.28,0.42,1,2026-01-13,,,,
CN,deepseek,deepseek/deepseek-reasoner,deepseek-reasoner,2025-01-23,2026-09-13,0,598,0.55,2.19,0.28,0.42,1,2026-01-13,,,,
CN,deepseek,deepseek/deepseek-r1,deepseek-r1,2025-06-28,2026-09-13,0,442,0.55,2.19,0.55,2.19,0,,,,,
CN,deepseek,deepseek/deepseek-v3,deepseek-v3,2025-06-28,2026-09-13,0,442,0.27,1.1,0.27,1.1,0,,,,,
CN,moonshot,moonshot/kimi-k2-0711-preview,kimi-k2-0711-preview,2025-07-14,2026-09-13,0,426,0.6,2.5,0.6,2.5,0,,,,,
CN,moonshot,moonshot/moonshot-v1-128k,moonshot-v1-128k,2025-07-14,2026-09-13,0,426,,,2.0,5.0,1,2025-07-19,,,,
CN,moonshot,moonshot/kimi-latest-128k,kimi-latest-128k,2025-07-19,2026-09-13,0,421,2.0,5.0,2.0,5.0,0,,,,,
US,anthropic,claude-2,claude-2,2023-09-06,2025-07-23,1,686,11.02,32.68,8.0,24.0,1,2023-11-22,,,,
US,anthropic,claude-2.1,claude-2.1,2023-11-21,2025-07-23,1,610,11.02,32.68,8.0,24.0,1,2023-11-22,,,,
US,anthropic,claude-3-opus-20240229,claude-3-opus-20240229,2024-03-04,2026-09-13,0,923,15.0,75.0,15.0,75.0,0,,,,,
US,anthropic,claude-3-sonnet-20240229,claude-3-sonnet-20240229,2024-03-04,2025-07-23,1,506,3.0,15.0,3.0,15.0,0,,,,,
