slug,name,short_name,creator,creator_country,creator_slug,release_slug,release_name,release_date,deprecated,is_reasoning,effort,is_open_weights,size_class,context_window_tokens,intelligence_index,intelligence_is_estimated,input_usd_per_mtok,output_usd_per_mtok,cache_hit_price,blended_3to1,median_output_speed,host_model_count,perf_source_type,perf_source_provider
gemini-3-5-flash-lite,Gemini 3.5 Flash-Lite,Gemini 3.5 Flash-Lite,Google,us,google,gemini-3-5-flash-lite,Gemini 3.5 Flash-Lite,2026-07-21,False,True,high,False,medium,1000000,22.6606674839812,False,0.3,2.5,0.03,0.85,366.594779169277,4,firstParty,Google
inkling,Inkling (xhigh),Inkling,Thinking Machines,us,thinking-machines,inkling,Inkling,2026-07-15,False,True,xhigh,True,large,1000000,25.5423060999384,False,1,4.05,0.17,1.7625,79.964066336503,6,firstParty,Thinking Machines
glm-5-3-flash,GLM-5.3-Flash,GLM-5.3-Flash,Z AI,cn,zai,glm-5-3-flash,GLM 5.3 Flash,2026-08-26,False,True,max,True,large,1000000,41.907366113455,False,0.15,0.5,0.026,0.2375,107.354086281857,19,firstParty,Z AI
minimax-m3,MiniMax-M3,MiniMax-M3,MiniMax,cn,minimax,minimax-m3,MiniMax-M3,2026-06-01,False,True,,True,large,1000000,29.6125932236316,False,0.3,1.2,0.06,0.5249999999999999,97.7792566938778,15,firstParty,MiniMax
gpt-6-astra,GPT-6 Astra (max),GPT-6 Astra (max),OpenAI,us,openai,gpt-6-astra,GPT-6 Astra,2026-09-03,False,True,max,False,large,1000000,52.814069395513,False,10,50,1,20,60.4111020651144,5,firstParty,OpenAI
claude-fable-5-1,"Claude Fable 5.1 (Adaptive Reasoning, Max Effort, Default Fallback)",Claude Fable 5.1 (max with fallback),Anthropic,us,anthropic,claude-fable-5-1,Claude Fable 5.1,2026-09-01,False,True,max,False,large,1000000,53.3737509623252,False,10,50,0.25,20,66.7231595906731,5,firstParty,Anthropic
gpt-5-6-luna,GPT-5.6 Luna (max),GPT-5.6 Luna (max),OpenAI,us,openai,gpt-5-6-luna,GPT-5.6 Luna,2026-07-09,False,True,max,False,medium,1000000,37.5048489690841,False,0.2,1.2,0.02,0.45,121.449951951281,6,firstParty,OpenAI
muse-glimmer,Muse Glimmer (high),Muse Glimmer (high),Meta,us,meta,muse-glimmer,Muse Glimmer,2026-08-10,False,True,high,True,small,131072,18.0678176089465,False,0.35,1.5,0.04,0.6375,90.3532020158379,3,median,
nvidia-nemotron-3-ultra-550b-a55b,Nemotron 3 Ultra 550B A55B (Reasoning),Nemotron 3 Ultra,NVIDIA,us,nvidia,nemotron-3-ultra-550b-a55b,Nemotron 3 Ultra 550B A55B,2026-06-04,False,True,,True,large,262144,23.4145123422858,False,0.6,2.6,0.2,1.1,179.733668405526,9,median,
deepseek-v4-pro,"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",DeepSeek V4 Pro 0813 (max),DeepSeek,cn,deepseek,deepseek-v4-pro,DeepSeek V4 Pro 0813,2026-08-13,False,True,max,True,large,1000000,36.2828791278402,False,1.32,3.96,0.044,1.98,68.7667739631777,10,firstParty,DeepSeek
gemini-3-8-flash,Gemini 3.8 Flash (high),Gemini 3.8 Flash (high),Google,us,google,gemini-3-8-flash,Gemini 3.8 Flash,2026-09-02,False,True,high,False,large,1000000,41.1863571765904,False,0.75,3.75,0.075,1.5,274.936934841192,4,firstParty,Google
qwen3-8-2-4t-a95b,Qwen3.8 2.4T A95B,Qwen3.8 2.4T A95B,Alibaba,cn,alibaba,qwen3-8-2-4t-a95b,Qwen3.8 2.4T A95B,2026-08-12,False,True,,True,large,983616,40.0445723105325,False,2,6,0.25,3,38.39677333694,6,firstParty,Alibaba
muse-spark-1-3,Muse Spark 1.3 (max),Muse Spark 1.3 (max),Meta,us,meta,muse-spark-1-3,Muse Spark 1.3,2026-09-02,False,True,max,False,large,1000000,48.1690107719685,False,1.25,4.25,0.15,2,243.340247714519,1,firstParty,Meta
qwen3-8-27b,Qwen3.8 27B (xhigh),Qwen3.8 27B (xhigh),Alibaba,cn,alibaba,qwen3-8-27b,Qwen3.8 27B,2026-08-14,False,True,xhigh,True,small,256000,33.9015108057476,False,0.5,3,0.05,1.125,41.640882674858,8,firstParty,Alibaba
claude-opus-5,"Claude Opus 5 (Adaptive Reasoning, Max Effort)",Claude Opus 5 (max),Anthropic,us,anthropic,claude-opus-5,Claude Opus 5,2026-07-24,False,True,max,False,large,1000000,50.7001865797629,False,5,25,0.5,10,52.7488613888669,7,firstParty,Anthropic
k2-horizon-375b-a23b,K2 Horizon 375B A23B,K2 Horizon 375B A23B,MBZUAI Institute of Foundation Models,ae,mbzuai,k2-horizon-375b-a23b,K2 Horizon 375B A23B,2026-09-03,False,True,,True,large,524288,30.7949302696723,False,,,,,,0,median,
