dataset,label,details_url,value,sub_metric
Speed,Gemini 3.8 Flash (high),/models/gemini-3-8-flash,274.936934841192,medianOutputSpeed
Speed,Muse Spark 1.3 (max),/models/muse-spark-1-3,243.340247714519,medianOutputSpeed
Speed,DeepSeek V4.1 Flash (max),/models/deepseek-v4-1-flash,218.665948566808,medianOutputSpeed
Speed,GPT-5.6 Luna (max),/models/gpt-5-6-luna,121.449951951281,medianOutputSpeed
Speed,GLM-5.3 (max),/models/glm-5-3,69.0633608750255,medianOutputSpeed
Speed,DeepSeek V4 Pro 0813 (max),/models/deepseek-v4-pro,68.7667739631777,medianOutputSpeed
Speed,Claude Fable 5.1 (max with fallback),/models/claude-fable-5-1,66.7231595906731,medianOutputSpeed
Speed,GPT-6 Astra (max),/models/gpt-6-astra,60.4111020651144,medianOutputSpeed
Speed,Grok 4.6 (high),/models/grok-4-6,58.1640178152706,medianOutputSpeed
Speed,Claude Opus 5 (max),/models/claude-opus-5,52.7488613888669,medianOutputSpeed
Speed,Kimi K3 (max),/models/kimi-k3,37.3821624472028,medianOutputSpeed
Artificial Analysis Intelligence Index,Claude Fable 5.1 (max with fallback),/models/claude-fable-5-1,53.3737509623252,intelligenceIndex
Artificial Analysis Intelligence Index,GPT-6 Astra (max),/models/gpt-6-astra,52.814069395513,intelligenceIndex
Artificial Analysis Intelligence Index,Claude Opus 5 (max),/models/claude-opus-5,50.7001865797629,intelligenceIndex
Artificial Analysis Intelligence Index,Claude Fable 5 (with fallback),/models/claude-fable-5,49.6994452733378,intelligenceIndex
Artificial Analysis Intelligence Index,Muse Spark 1.3 (max),/models/muse-spark-1-3,48.1690107719685,intelligenceIndex
Artificial Analysis Intelligence Index,GPT-5.6 Sol (max),/models/gpt-5-6-sol,47.0613568915036,intelligenceIndex
Artificial Analysis Intelligence Index,GLM-5.3 (max),/models/glm-5-3,44.855717385614,intelligenceIndex
Artificial Analysis Intelligence Index,Grok 4.6 (high),/models/grok-4-6,44.4050073012592,intelligenceIndex
Artificial Analysis Intelligence Index,Kimi K3 (max),/models/kimi-k3,43.7841729518782,intelligenceIndex
Artificial Analysis Intelligence Index,GPT-5.6 Terra (max),/models/gpt-5-6-terra,42.2514998239494,intelligenceIndex
Artificial Analysis Intelligence Index,GLM-5.3-Flash,/models/glm-5-3-flash,41.907366113455,intelligenceIndex
Artificial Analysis Intelligence Index,Gemini 3.8 Flash (high),/models/gemini-3-8-flash,41.1863571765904,intelligenceIndex
Artificial Analysis Intelligence Index,Qwen3.8 2.4T A95B,/models/qwen3-8-2-4t-a95b,40.0445723105325,intelligenceIndex
Artificial Analysis Intelligence Index,DeepSeek V4.1 Flash (max),/models/deepseek-v4-1-flash,39.545442472527,intelligenceIndex
Artificial Analysis Intelligence Index,GPT-5.6 Luna (max),/models/gpt-5-6-luna,37.5048489690841,intelligenceIndex
Artificial Analysis Intelligence Index,DeepSeek V4 Pro 0813 (max),/models/deepseek-v4-pro,36.2828791278402,intelligenceIndex
Artificial Analysis Intelligence Index,Qwen3.8 27B (xhigh),/models/qwen3-8-27b,33.9015108057476,intelligenceIndex
Artificial Analysis Intelligence Index,K2 Horizon 375B A23B,/models/k2-horizon-375b-a23b,30.7949302696723,intelligenceIndex
Artificial Analysis Intelligence Index,MiniMax-M3,/models/minimax-m3,29.6125932236316,intelligenceIndex
Artificial Analysis Intelligence Index,Inkling,/models/inkling,25.5423060999384,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,Claude Fable 5.1 (max with fallback),/models/claude-fable-5-1,53.3737509623252,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,GPT-6 Astra (max),/models/gpt-6-astra,52.814069395513,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,Claude Opus 5 (max),/models/claude-opus-5,50.7001865797629,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,Claude Fable 5 (with fallback),/models/claude-fable-5,49.6994452733378,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,Muse Spark 1.3 (max),/models/muse-spark-1-3,48.1690107719685,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,GPT-5.6 Sol (max),/models/gpt-5-6-sol,47.0613568915036,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,GLM-5.3 (max),/models/glm-5-3,44.855717385614,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,Grok 4.6 (high),/models/grok-4-6,44.4050073012592,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,Kimi K3 (max),/models/kimi-k3,43.7841729518782,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,GPT-5.6 Terra (max),/models/gpt-5-6-terra,42.2514998239494,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,GLM-5.3-Flash,/models/glm-5-3-flash,41.907366113455,intelligenceIndex
Artificial Analysis Intelligence Index by Open Weights / Proprietary,Gemini 3.8 Flash (high),/models/gemini-3-8-flash,41.1863571765904,intelligenceIndex
