model_id,model,provider,bloc,status,released,category,first_date,last_date,span_days,n_points,n_own_points,n_reconstructed_points,first_own_date,n_price_changes,price_change_dates,n_changes_before_first_own
01ai-yi-large,Yi Large,01.AI,CN,Retired,2024-07-01,mid-tier,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
alibaba-qwq-plus,QwQ-Plus,Alibaba,CN,Current,2025-10-01,reasoning,2025-09-15,2026-09-12,362,79,77,2,2026-06-25,0,,0
alibaba-qwen-flash,Qwen-Flash,Alibaba,CN,Current,2025-10-01,budget,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
alibaba-qwen-plus,Qwen-Plus,Alibaba,CN,Current,2025-10-01,mid-tier,2025-09-15,2026-09-12,362,79,77,2,2026-06-25,0,,0
alibaba-qwen-turbo,Qwen-Turbo,Alibaba,CN,Current,2025-10-01,budget,2025-09-15,2026-09-12,362,79,77,2,2026-06-25,0,,0
alibaba-qwen3-32b,Qwen3-32B,Alibaba,CN,Current,2025-04-28,budget,2026-08-07,2026-09-12,36,37,37,0,2026-08-07,0,,0
alibaba-qwen3-coder-next,Qwen3-Coder-Next,Alibaba,CN,Current,2026-02-04,coding,2026-08-17,2026-09-12,26,27,27,0,2026-08-17,0,,0
alibaba-qwen3-max,Qwen3-Max,Alibaba,CN,Current,2026-01-01,flagship,2026-06-27,2026-09-12,77,77,77,0,2026-06-27,0,,0
alibaba-qwen3-5-122b-a10b,Qwen3.5-122B-A10B,Alibaba,CN,Current,2026-02-25,mid-tier,2026-08-17,2026-09-12,26,27,27,0,2026-08-17,0,,0
alibaba-qwen3-5-27b,Qwen3.5-27B,Alibaba,CN,Current,2026-02-25,mid-tier,2026-08-17,2026-09-12,26,27,27,0,2026-08-17,0,,0
alibaba-qwen3-5-35b-a3b,Qwen3.5-35B-A3B,Alibaba,CN,Current,2026-02-25,mid-tier,2026-08-17,2026-09-12,26,27,27,0,2026-08-17,0,,0
alibaba-qwen3-5-397b-a17b,Qwen3.5-397B-A17B,Alibaba,CN,Current,2026-02-16,mid-tier,2026-08-07,2026-09-12,36,37,37,0,2026-08-07,0,,0
alibaba-qwen3-5-flash,Qwen3.5-Flash,Alibaba,CN,Current,2026-02-23,budget,2026-08-17,2026-09-12,26,27,27,0,2026-08-17,0,,0
alibaba-qwen3-5-plus,Qwen3.5-Plus,Alibaba,CN,Current,2026-02-15,mid-tier,2026-08-17,2026-09-12,26,27,27,0,2026-08-17,0,,0
alibaba-qwen3-6-27b,Qwen3.6-27B,Alibaba,CN,Current,2026-04-27,mid-tier,2026-08-07,2026-09-12,36,37,37,0,2026-08-07,0,,0
alibaba-qwen3-6-flash,Qwen3.6-Flash,Alibaba,CN,Current,2026-04-16,budget,2026-08-06,2026-09-12,37,38,38,0,2026-08-06,0,,0
alibaba-qwen3-6-plus,Qwen3.6-Plus,Alibaba,CN,Current,2026-04-02,mid-tier,2026-08-07,2026-09-12,36,37,37,0,2026-08-07,0,,0
alibaba-qwen3-7-flash,Qwen3.7-Flash,Alibaba,CN,Current,2026-07-15,budget,2026-08-06,2026-09-12,37,38,38,0,2026-08-06,0,,0
alibaba-qwen3-7-max,Qwen3.7-Max,Alibaba,CN,Current,2026-05-20,flagship,2026-07-25,2026-09-12,49,50,50,0,2026-07-25,0,,0
alibaba-qwen3-7-plus,Qwen3.7-Plus,Alibaba,CN,Current,2026-05-26,mid-tier,2026-08-06,2026-09-12,37,38,38,0,2026-08-06,0,,0
alibaba-qwen3-8-2-4t-a95b,Qwen3.8-2.4T-A95B,Alibaba,CN,Current,2026-08-08,open-weights,2026-08-15,2026-09-12,28,29,29,0,2026-08-15,0,,0
alibaba-qwen3-8-27b,Qwen3.8-27B,Alibaba,CN,Current,2026-08-14,mid-tier,2026-08-31,2026-09-12,12,13,13,0,2026-08-31,0,,0
alibaba-qwen3-8-flash,Qwen3.8-Flash,Alibaba,CN,Current,2026-08-26,budget,2026-08-27,2026-09-12,16,17,17,0,2026-08-27,0,,0
alibaba-qwen3-8-max,Qwen3.8-Max,Alibaba,CN,Current,2026-08-03,flagship,2026-08-03,2026-09-12,40,41,41,0,2026-08-03,0,,0
baichuan-m2-32b,Baichuan M2-32B,Baichuan,CN,Current,2025-06-01,budget,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,CN,Retired,2026-04-24,budget,2026-06-23,2026-09-12,81,78,77,1,2026-06-25,1,2026-08-16,0
deepseek-v4-flash-vision-exp,DeepSeek V4 Flash Vision Exp,DeepSeek,CN,Retired,2026-08-21,budget,2026-08-21,2026-09-12,22,23,23,0,2026-08-21,0,,0
deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,CN,Current,2026-04-24,mid-tier,2026-06-23,2026-09-12,81,78,77,1,2026-06-25,1,2026-08-16,0
deepseek-v4-1-flash,DeepSeek V4.1 Flash,DeepSeek,CN,Current,2026-09-10,budget,2026-09-10,2026-09-12,2,3,3,0,2026-09-10,0,,0
kwaipilot-kat-coder-air-v2-5,KAT-Coder-Air V2.5,Kwaipilot,CN,Current,2026-07-10,coding,2026-08-10,2026-09-12,33,34,34,0,2026-08-10,0,,0
kwaipilot-kat-coder-pro-v2-5,KAT-Coder-Pro V2.5,Kwaipilot,CN,Current,2026-07-10,coding,2026-08-10,2026-09-12,33,34,34,0,2026-08-10,0,,0
meituan-longcat-2,LongCat-2.0,Meituan,CN,Current,2026-06-30,coding,2026-07-06,2026-09-12,68,69,69,0,2026-07-06,0,,0
minimax-m2,MiniMax-M2,MiniMax,CN,Retired,2025-01-01,budget,2025-12-29,2026-09-12,257,79,77,2,2026-06-25,0,,0
minimax-m2-1,MiniMax-M2.1,MiniMax,CN,Retired,2025-04-01,budget,2025-12-29,2026-09-12,257,79,77,2,2026-06-25,0,,0
minimax-m2-5,MiniMax-M2.5,MiniMax,CN,Retired,2025-07-01,budget,2026-02-16,2026-09-12,208,79,77,2,2026-06-25,0,,0
minimax-m2-7,MiniMax-M2.7,MiniMax,CN,Current,2025-10-01,budget,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
minimax-m3,MiniMax-M3,MiniMax,CN,Current,2026-06-01,budget,2026-06-09,2026-09-12,95,80,77,3,2026-06-25,1,2026-06-17,1
moonshot-kimi-k2-5,Kimi K2.5,Moonshot,CN,Current,2025-07-01,budget,2026-02-09,2026-09-12,215,79,77,2,2026-06-25,0,,0
moonshot-kimi-k2-6,Kimi K2.6,Moonshot,CN,Current,2025-10-01,mid-tier,2026-04-27,2026-09-12,138,79,77,2,2026-06-25,0,,0
moonshot-kimi-k2-7-code,Kimi K2.7 Code,Moonshot,CN,Current,2026-06-12,coding,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
moonshot-kimi-k2-7-code-highspeed,Kimi K2.7 Code HighSpeed,Moonshot,CN,Current,2026-06-12,coding,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
moonshot-kimi-k3,Kimi K3,Moonshot,CN,Current,2026-07-16,flagship,2026-07-16,2026-09-12,58,59,59,0,2026-07-16,0,,0
tencent-hunyuan-hy3-preview,Hunyuan Hy3,Tencent,CN,Current,2026-07-07,budget,2026-07-08,2026-09-12,66,67,67,0,2026-07-08,0,,0
tencent-hy-mt2-1-8b,Hy-MT2 1.8B,Tencent,CN,Current,2026-05-21,budget,2026-08-20,2026-09-12,23,24,24,0,2026-08-20,0,,0
tencent-hy-mt2-30b-a3b,Hy-MT2 30B-A3B,Tencent,CN,Current,2026-05-21,budget,2026-08-20,2026-09-12,23,24,24,0,2026-08-20,0,,0
tencent-hy4-preview,Hy4 preview,Tencent,CN,Current,2026-08-27,mid-tier,2026-08-28,2026-09-12,15,16,16,0,2026-08-28,0,,0
zhipu-glm-4-32b,GLM-4-32B-0414,Z.AI,CN,Current,2025-04-01,budget,2025-12-08,2026-09-12,278,78,77,1,2026-06-25,0,,0
zhipu-glm-4-5,GLM-4.5,Z.AI,CN,Current,2025-01-01,mid-tier,2025-12-08,2026-09-12,278,79,77,2,2026-06-25,0,,0
zhipu-glm-4-5-air,GLM-4.5-Air,Z.AI,CN,Current,2025-01-01,budget,2025-12-08,2026-09-12,278,79,77,2,2026-06-25,0,,0
zhipu-glm-4-5-airx,GLM-4.5-AirX,Z.AI,CN,Current,2025-07-28,mid-tier,2026-09-10,2026-09-12,2,3,3,0,2026-09-10,0,,0
zhipu-glm-4-5-flash,GLM-4.5-Flash,Z.AI,CN,Current,2025-07-28,budget,2026-09-10,2026-09-12,2,3,3,0,2026-09-10,0,,0
zhipu-glm-4-5-x,GLM-4.5-X,Z.AI,CN,Current,2025-07-28,flagship,2026-09-10,2026-09-12,2,3,3,0,2026-09-10,0,,0
zhipu-glm-4-5v,GLM-4.5V,Z.AI,CN,Current,2025-08-11,mid-tier,2026-09-10,2026-09-12,2,3,3,0,2026-09-10,0,,0
zhipu-glm-4-6,GLM-4.6,Z.AI,CN,Current,2025-03-01,mid-tier,2025-12-08,2026-09-12,278,79,77,2,2026-06-25,0,,0
zhipu-glm-4-6v,GLM-4.6V,Z.AI,CN,Current,2025-03-01,budget,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
zhipu-glm-4-6v-flash,GLM-4.6V-Flash,Z.AI,CN,Current,2025-12-08,budget,2026-09-10,2026-09-12,2,3,3,0,2026-09-10,0,,0
zhipu-glm-4-6v-flashx,GLM-4.6V-FlashX,Z.AI,CN,Current,2025-12-08,budget,2026-09-10,2026-09-12,2,3,3,0,2026-09-10,0,,0
zhipu-glm-4-7,GLM-4.7,Z.AI,CN,Current,2025-06-01,mid-tier,2026-01-05,2026-09-12,250,79,77,2,2026-06-25,0,,0
zhipu-glm-4-7-flash,GLM-4.7-Flash,Z.AI,CN,Current,2025-06-01,budget,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
zhipu-glm-4-7-flashx,GLM-4.7-FlashX,Z.AI,CN,Current,2025-06-01,budget,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
zhipu-glm-5,GLM-5,Z.AI,CN,Current,2025-07-01,mid-tier,2026-03-09,2026-09-12,187,79,77,2,2026-06-25,0,,0
zhipu-glm-5-turbo,GLM-5-Turbo,Z.AI,CN,Current,2025-07-01,mid-tier,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
zhipu-glm-5-1,GLM-5.1,Z.AI,CN,Current,2025-10-01,mid-tier,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
zhipu-glm-5-2,GLM-5.2,Z.AI,CN,Current,2026-06-13,flagship,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
zhipu-glm-5-3,GLM-5.3,Z.AI,CN,Current,2026-08-14,flagship,2026-08-18,2026-09-12,25,26,26,0,2026-08-18,0,,0
zhipu-glm-5-3-flash,GLM-5.3-Flash,Z.AI,CN,Current,2026-08-25,budget,2026-08-27,2026-09-12,16,17,17,0,2026-08-27,1,2026-09-09,0
zhipu-glm-5v-turbo,GLM-5V-Turbo,Z.AI,CN,Current,2026-01-01,mid-tier,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
zhipu-glm-ocr,GLM-OCR,Z.AI,CN,Current,2025-06-01,budget,2026-06-25,2026-09-12,79,77,77,0,2026-06-25,0,,0
deepinfra-deepseek-v4-flash,DeepSeek V4 Flash,DeepInfra,HOST_US,Current,2026-04-24,budget,2026-07-10,2026-09-12,64,65,65,0,2026-07-10,0,,0
deepinfra-deepseek-v4-pro,DeepSeek V4 Pro,DeepInfra,HOST_US,Current,2026-04-24,mid-tier,2026-08-14,2026-09-12,29,30,30,0,2026-08-14,0,,0
deepinfra-llama-4-maverick,Llama 4 Maverick,DeepInfra,HOST_US,Current,2025-04-06,open-weights,2026-07-10,2026-09-12,64,65,65,0,2026-07-10,0,,0
deepinfra-llama-4-scout,Llama 4 Scout,DeepInfra,HOST_US,Current,2025-04-06,open-weights,2026-07-10,2026-09-12,64,65,65,0,2026-07-10,0,,0
deepinfra-nvidia-nemotron-3-5-lightning,NVIDIA Nemotron 3.5 Lightning,DeepInfra,HOST_US,Current,2026-08-11,open-weights,2026-08-17,2026-09-12,26,27,27,0,2026-08-17,0,,0
deepinfra-nvidia-nemotron-70b-instruct,Nemotron 70B Instruct,DeepInfra,HOST_US,Retired,2025-06-01,open-weights,2026-06-27,2026-09-12,77,77,77,0,2026-06-27,0,,0
deepinfra-qwen3-32b,Qwen3-32B,DeepInfra,HOST_US,Current,2026-01-01,budget,2026-07-10,2026-09-12,64,65,65,0,2026-07-10,0,,0
fireworks-deepseek-v4-flash,DeepSeek V4 Flash,Fireworks,HOST_US,Current,2026-04-24,budget,2026-06-23,2026-09-12,81,78,77,1,2026-06-25,0,,0
fireworks-deepseek-v4-pro,DeepSeek V4 Pro,Fireworks,HOST_US,Current,2026-04-24,mid-tier,2026-06-23,2026-09-12,81,78,77,1,2026-06-25,1,2026-08-31,0
